order_id,customer_id,order_date,product_name,quantity,unit_price,total_amount,order_status
ORD-5001,1001,2024-01-10,Wireless Mouse,2,29.99,59.98,shipped
ORD-5002,1003,2024-01-11,USB-C Cable,3,12.50,37.50,shipped
ORD-5003,1001,2024-01-12,Mechanical Keyboard,1,89.99,89.99,delivered
ORD-5004,1005,2024-01-13,Monitor Stand,1,45.00,45.00,shipped
ORD-5005,1002,2024-01-14,Laptop Sleeve,2,24.99,49.98,pending
ORD-5006,1008,2024-01-15,Webcam HD,1,69.99,69.99,delivered
ORD-5007,1001,2024-01-16,Desk Lamp,1,34.50,34.50,shipped
ORD-5008,1009,2024-01-17,Headphones Pro,1,129.99,129.99,pending
ORD-5009,1004,2024-01-18,Mouse Pad XL,4,15.00,60.00,cancelled
ORD-5010,1006,2024-01-19,Phone Dock,2,39.99,79.98,shipped
